pdb_id,Hchain,Lchain,model,antigen_chain,antigen_type,antigen_het_name,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,resolution,method,r_free,r_factor,scfv,engineered,heavy_subclass,light_subclass,light_ctype,affinity,delta_g,affinity_method,temperature,pmid
8gpi,A,C,0,Z | T,protein | protein,NA | NA,x18 ufo gp41 | x18 ufo gp41,VIRAL PROTEIN,01/08/09,HIV-1 Env X18 UFO in complex with 8ANC195 Fab,Homo sapiens; Human immunodeficiency virus 1,homo sapiens,homo sapiens,human immunodeficiency virus 1 | human immunodeficiency virus 1,"Niu, J., Xu, Y.W., Yang, B.",3.0,ELECTRON MICROSCOPY,,,False,True,unknown,IGKV1,Kappa,,,,,
8gpi,D,E,0,X | R,protein | protein,NA | NA,x18 ufo gp41 | x18 ufo gp41,VIRAL PROTEIN,01/08/09,HIV-1 Env X18 UFO in complex with 8ANC195 Fab,Homo sapiens; Human immunodeficiency virus 1,homo sapiens,homo sapiens,human immunodeficiency virus 1 | human immunodeficiency virus 1,"Niu, J., Xu, Y.W., Yang, B.",3.0,ELECTRON MICROSCOPY,,,False,True,unknown,IGKV1,Kappa,,,,,
8gpi,H,L,0,Y | S,protein | protein,NA | NA,x18 ufo gp41 | x18 ufo gp41,VIRAL PROTEIN,01/08/09,HIV-1 Env X18 UFO in complex with 8ANC195 Fab,Homo sapiens; Human immunodeficiency virus 1,homo sapiens,homo sapiens,human immunodeficiency virus 1 | human immunodeficiency virus 1,"Niu, J., Xu, Y.W., Yang, B.",3.0,ELECTRON MICROSCOPY,,,False,True,unknown,IGKV1,Kappa,,,,,
8gpj,A,C,0,Z | W,protein | protein,NA | NA,x16 ufo gp41 | x16 ufo gp41,VIRAL PROTEIN,08/09/23,HIV-1 Env X16 UFO in complex with 8ANC195 Fab,Homo sapiens,homo sapiens,homo sapiens,homo sapiens | homo sapiens,"Niu, J., Xu, Y.W., Yang, B.",3.5,ELECTRON MICROSCOPY,,,False,True,unknown,IGKV1,Kappa,,,,,
8gpj,D,E,0,X | V,protein | protein,NA | NA,x16 ufo gp41 | x16 ufo gp41,VIRAL PROTEIN,08/09/23,HIV-1 Env X16 UFO in complex with 8ANC195 Fab,Homo sapiens,homo sapiens,homo sapiens,homo sapiens | homo sapiens,"Niu, J., Xu, Y.W., Yang, B.",3.5,ELECTRON MICROSCOPY,,,False,True,unknown,IGKV1,Kappa,,,,,
8gpj,H,L,0,Y | U,protein | protein,NA | NA,x16 ufo gp41 | x16 ufo gp41,VIRAL PROTEIN,08/09/23,HIV-1 Env X16 UFO in complex with 8ANC195 Fab,Homo sapiens,homo sapiens,homo sapiens,homo sapiens | homo sapiens,"Niu, J., Xu, Y.W., Yang, B.",3.5,ELECTRON MICROSCOPY,,,False,True,unknown,IGKV1,Kappa,,,,,
8tco,E,D,0,B | A,protein | protein,NA | NA,envelope glycoprotein l | envelope glycoprotein h,VIRAL PROTEIN/IMMUNE SYSTEM,08/09/23,HCMV Trimer in complex with CS2it1p2_F7K Fab and CS4tt1p1_E3K Fab,Homo sapiens; Human betaherpesvirus 5,homo sapiens,homo sapiens,human betaherpesvirus 5 | human betaherpesvirus 5,"Goldsmith, J.G., McLellan, J.S.",2.8,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGKV1,Kappa,,,,,
8tco,F,G,0,C,protein,,envelope glycoprotein o,VIRAL PROTEIN/IMMUNE SYSTEM,08/09/23,HCMV Trimer in complex with CS2it1p2_F7K Fab and CS4tt1p1_E3K Fab,Homo sapiens; Human betaherpesvirus 5,homo sapiens,homo sapiens,human betaherpesvirus 5,"Goldsmith, J.G., McLellan, J.S.",2.8,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV1,Kappa,,,,,
8tea,H,G,0,C,protein,,envelope protein ul128,VIRAL PROTEIN,08/09/23,HCMV Pentamer in complex with CS2pt1p2_A10L Fab and CS3pt1p4_C1L Fab,Homo sapiens; Human betaherpesvirus 5,homo sapiens,homo sapiens,human betaherpesvirus 5,"Goldsmith, J.G., McLellan, J.S.",3.4,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
8tea,F,I,0,C | D,protein | protein,NA | NA,envelope protein ul128 | envelope glycoprotein ul130,VIRAL PROTEIN,08/09/23,HCMV Pentamer in complex with CS2pt1p2_A10L Fab and CS3pt1p4_C1L Fab,Homo sapiens; Human betaherpesvirus 5,homo sapiens,homo sapiens,human betaherpesvirus 5 | human betaherpesvirus 5,"Goldsmith, J.G., McLellan, J.S.",3.4,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGLV2,Lambda,,,,,
7yk4,H,L,0,A,protein,,tumor necrosis factor receptor superfamily member 4,ANTITUMOR PROTEIN/IMMUNE SYSTEM,08/09/23,ox40-antibody,Homo sapiens,homo sapiens,homo sapiens,homo sapiens,"Zhou, A.",2.7,X-RAY DIFFRACTION,0.299,0.233,False,True,IGHV1,IGKV1,Kappa,,,,,
7yk4,I,M,0,B,protein,,tumor necrosis factor receptor superfamily member 4,ANTITUMOR PROTEIN/IMMUNE SYSTEM,08/09/23,ox40-antibody,Homo sapiens,homo sapiens,homo sapiens,homo sapiens,"Zhou, A.",2.7,X-RAY DIFFRACTION,0.299,0.233,False,True,IGHV1,IGKV1,Kappa,,,,,
8b17,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AWA,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.5,X-RAY DIFFRACTION,0.269,0.235,False,True,IGHV1,,,,,,,
8b18,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AF,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.3,X-RAY DIFFRACTION,0.254,0.227,False,True,IGHV1,,,,,,,
8b19,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AFA,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.45,X-RAY DIFFRACTION,0.268,0.224,False,True,IGHV1,,,,,,,
8b1a,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AI,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.15,X-RAY DIFFRACTION,0.239,0.215,False,True,IGHV1,,,,,,,
8b1b,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AL,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.8,X-RAY DIFFRACTION,0.263,0.226,False,True,IGHV1,,,,,,,
8b1c,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-ALA,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.56,X-RAY DIFFRACTION,0.241,0.215,False,True,IGHV1,,,,,,,
8b1d,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-APF,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.3,X-RAY DIFFRACTION,0.258,0.230,False,True,IGHV1,,,,,,,
8b1e,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AQ,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.47,X-RAY DIFFRACTION,0.268,0.223,False,True,IGHV1,,,,,,,
8b1f,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AV,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.35,X-RAY DIFFRACTION,0.237,0.217,False,True,IGHV1,,,,,,,
8b1g,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-AW,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.5,X-RAY DIFFRACTION,0.249,0.225,False,True,IGHV1,,,,,,,
8b1h,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-KV,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.6,X-RAY DIFFRACTION,0.260,0.226,False,True,IGHV1,,,,,,,
8b1i,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-MS,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.55,X-RAY DIFFRACTION,0.258,0.224,False,True,IGHV1,,,,,,,
8b1j,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-SL,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.67,X-RAY DIFFRACTION,0.264,0.222,False,True,IGHV1,,,,,,,
8b1k,B,,0,A,protein,,dipeptide and tripeptide permease b,MEMBRANE PROTEIN,08/09/23,DtpB-Nb132-NV,Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT,lama glama,,escherichia coli,"Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.",2.8,X-RAY DIFFRACTION,0.250,0.226,False,True,IGHV1,,,,,,,
8e6j,H,L,0,A,protein,,neuraminidase,VIRAL PROTEIN,08/09/23,3H03 Fab in complex with influenza virus neuraminidase from A/Brevig Mission/1/1918 (H1N1),Homo sapiens; Influenza A virus (A/Brevig Mission/1/1918(H1N1)),homo sapiens,homo sapiens,influenza a virus (a/brevigmission/1/1918(h1n1)) ,"Turner, H.L., Ozorowski, G., Ward, A.B.",2.7,ELECTRON MICROSCOPY,,,False,True,IGHV4,IGKV1,Kappa,,,,,
